record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,1.5 X,"1,000km",1000,1000,,埼玉県,2025-06,,,,,2413000,,,241.3
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z,"1,000km",1000,1000,,愛媛県,2025-09,,,,,3095000,,,309.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z ブラックスタイル 4WD,"3,000km",3000,3000,,山口県,2025-09,,,,,3485000,,,348.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,1.5 X,"4,000km",4000,4000,,群馬県,2025-11,,,,,2480000,,,248.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z ブラックスタイル,"4,000km",4000,4000,,徳島県,2025-09,,,,,2973000,,,297.3
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z 4WD,"5,000km",5000,5000,,宮城県,2026-01,,,,,2167000,,,216.7
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z 4WD,"7,000km",7000,7000,,香川県,2025-08,,,,,3100000,,,310.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z ブラックスタイル,1万km,10000,10000,,大分県,2025-10,,,,,3287000,,,328.7
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z ブラックスタイル 4WD,1万km,10000,10000,,栃木県,2025-12,,,,,3377000,,,337.7
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2025,2025年式,2.0 e:HEV Z ブラックスタイル,"11,000km",11000,11000,,静岡県,2026-02,,,,,3115000,,,311.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 X,"1,000km",1000,1000,,兵庫県,2024-11,,,,,2370000,,,237.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 X,"1,000km",1000,1000,,長野県,2024-11,,,,,2412000,,,241.2
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"1,000km",1000,1000,,鳥取県,2025-01,,,,,2518000,,,251.8
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"1,000km",1000,1000,,青森県,2024-09,,,,,2834000,,,283.4
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z 4WD,"1,000km",1000,1000,,北海道,2024-06,,,,,2879000,,,287.9
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z,"1,000km",1000,1000,,大阪府,2024-06,,,,,3193000,,,319.3
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z 4WD,"1,000km",1000,1000,,福井県,2024-10,,,,,3200000,,,320.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z 4WD,"1,000km",1000,1000,,福岡県,2024-10,,,,,3238000,,,323.8
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z 4WD,"1,000km",1000,1000,,北海道,2024-07,,,,,3260000,,,326.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z ブラックスタイル,"1,000km",1000,1000,,大阪府,2024-11,,,,,3369000,,,336.9
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"2,000km",2000,2000,,滋賀県,2024-12,,,,,2627000,,,262.7
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"2,000km",2000,2000,,山梨県,2024-11,,,,,2679000,,,267.9
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"2,000km",2000,2000,,青森県,2025-01,,,,,2775000,,,277.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"2,000km",2000,2000,,青森県,2025-01,,,,,2775000,,,277.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z,"2,000km",2000,2000,,東京都,2025-01,,,,,2782000,,,278.2
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z,"2,000km",2000,2000,,東京都,2025-01,,,,,2782000,,,278.2
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z 4WD,"2,000km",2000,2000,,徳島県,2025-02,,,,,3100000,,,310.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z 4WD,"2,000km",2000,2000,,山口県,2024-12,,,,,3124000,,,312.4
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z ブラックスタイル,"2,000km",2000,2000,,栃木県,2025-04,,,,,3277000,,,327.7
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z ブラックスタイル,"2,000km",2000,2000,,福島県,2025-07,,,,,3386000,,,338.6
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"3,000km",3000,3000,,京都府,2024-12,,,,,2435000,,,243.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 X 4WD,"3,000km",3000,3000,,沖縄県,2025-12,,,,,2665000,,,266.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z,"3,000km",3000,3000,,奈良県,2025-06,,,,,2800000,,,280.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"3,000km",3000,3000,,岩手県,2024-09,,,,,2831000,,,283.1
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z,"3,000km",3000,3000,,徳島県,2024-12,,,,,3115000,,,311.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z 4WD,"3,000km",3000,3000,,埼玉県,2025-11,,,,,3230000,,,323.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z 4WD,"3,000km",3000,3000,,広島県,2024-12,,,,,3281000,,,328.1
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z ブラックスタイル,"3,000km",3000,3000,,福岡県,2025-03,,,,,3290000,,,329.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z 4WD,"3,000km",3000,3000,,埼玉県,2024-08,,,,,3300000,,,330.0
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z 4WD,"3,000km",3000,3000,,群馬県,2025-02,,,,,3346000,,,334.6
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z 4WD,"3,000km",3000,3000,,群馬県,2025-02,,,,,3346000,,,334.6
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"4,000km",4000,4000,,佐賀県,2024-10,,,,,2718000,,,271.8
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z 4WD,"4,000km",4000,4000,,奈良県,2024-12,,,,,2855000,,,285.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"4,000km",4000,4000,,香川県,2025-03,,,,,3006000,,,300.6
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV X ブラックスタイル 4WD,"4,000km",4000,4000,,三重県,2025-10,,,,,3301000,,,330.1
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,2.0 e:HEV Z ブラックスタイル 4WD,"4,000km",4000,4000,,茨城県,2025-04,,,,,3505000,,,350.5
appraisal_record,kurumaerabi_kaitori,3/23340,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23340/,20260416_012412,ホンダ,ZR-V,honda-zr-v,,2024,2024年式,1.5 Z,"5,000km",5000,5000,,神奈川県,2025-06,,,,,2615000,,,261.5
